id,title,key
38,【HCI】虚拟机从HCI迁移到异构的VMware失败，提示获取vCenter存储信息失败,异构	迁移	信息	获取	失败	纳管	集群	提示	版本	环境模拟
39,【HCI】windows虚拟机内部拷贝文件出现降速，或者速度不稳定，性能测试不稳定,稳定	降速	拷贝	速度	文件	出现	性能	测试	c盘	环路
40,【HCI】两主机上的虚拟机过vxlan不能正常通信,注意	正常	场景	组建	集群	不通	网络	需要	异常	电脑软件
41,【HCI】Linux虚拟机迁移安装性能优化工具后无法启动--重做rd文件,启动	优化	性能	工具	迁移	安装	无法	勾选	文件	理想
42,【HCI】注册表损坏导致windows虚拟机启动进入修复模式,修复	模式	进入	启动	机房	系统启动	注册表	断电	损坏	恢复
43,【HCI】导入监控中心aMC提示‘模板没有磁盘镜像’,磁盘镜像	模板	中心	监控	部署	融合	导入	提示	失败	环境变量
44,【HCI】版本更新后虚拟机内存升高,升高	内存	版本升级	更新	监控	反馈	版本	客户	环境设备	环路
45,【HCI】P2V迁移不迁移异常磁盘方法,磁盘	迁移	脱机	导致	管理器	方法	离线	看到	已经	信息
46,【HCI】p2v迁移报错，提示连接acloud的服务端的ip（x.x.x.x）不是本地配置的ip,服务端	迁移	连接	报错	确认	是否	配置	提示	网络	使用
47,【HCI】windows更新之后重启无法进入系统,系统	进入	更新	补丁	无法	重启	导致	失败	现放通	环境变量
48,【HCI】跨集群迁移失败提示‘同步虚拟磁盘数据失败，无法创建虚拟机镜像’,迁移	失败	镜像	创建	同步	集群	磁盘	数据	中止	虚拟
49,【HCI】P2V迁移windows报错迁移工具报错:无SE_BACKUP_NAME以及SE_RESTORE_NAME权限,迁移	报错	工具	权限	c盘	现场	玩转	环回口	环境	环境变量
50,【HCI】SCP22345端口不通，界面没有服务与下载的按钮,下载	端口	不通	服务	界面	按钮	功能	现成	环境变量	环境模拟
51,【HCI】centos7虚拟机异常关闭电源后开机异常,关闭电源	异常	重启	开机	网络服务	自动	环路	玩游戏	玩转	环回口
52,【HCI】FC存储实际容量与平台上显示的有差异,实际	平台	显示	存储容量	差异	容量	c盘	环境模拟	环境设备	环路
53,【HCI】安装系统检测退出安装程序，磁盘大小不满足安装最低要求55GB,最低	安装	安装程序	满足	退出	要求	检测	磁盘	系统	c盘
54,【HCI】虚拟机内存为硬件保留过多,内存	保留	硬件	标注	监视器	大量	查看	资源	显示	使用
55,【HCI】导入虚拟机失败!转换ova文件里的磁盘失败!,失败	转换	磁盘	导入	文件	c盘	环境	环境变量	环境模拟	环境设备
56,【HCI】虚拟机日志显示内部关闭虚拟机,关闭	打印	调度	操作	集群	资源	显示	导致	失败	环境变量
57,【HCI】新发货的主机打了护网补丁导致添加主机提示连接超时,添加	发货	护网	补丁	连接	检查	集群	提示	网络	环境
58,【HCI】AD域迁移备域，降级域控报错，源服务器目前拒绝复制请求,降级	备域	复制	请求	迁移	拒绝	报错	服务器	c盘	环境设备
59,【HCI】华为V2&V3服务器安装HCI系统后，无法正常启动系统,系统	系统盘	安装	启动	磁盘	正常	引导	流程	服务器	无法
60,【HCI】Linux虚拟机重启网络服务失败,网络服务	重启	失败	报错	c盘	现成	环境	环境变量	环境模拟	环境设备
61,【HCI】2主机扩容4主机，虚拟存储扩容失败,扩容	虚拟存储	失败	c盘	现已	环境	环境变量	环境模拟	环境设备	环路
62,【HCI】linxu虚拟机采用ISO迁移到HCI报错,迁移	平台	报错	采用	镜像	过程	融合	加载	c盘	玩转
63,【HCI】怎么恢复windows密码,密码	忘记	恢复	进入	管理员	系统	现需	环境设备	率为	玩游戏
64,【HCI】加入云管后分布式防火墙策略配置频繁被修改,云管	频繁	加入	防火墙	分布式	控制策略	编辑	修改	策略	访问
65,"【HCI】虚拟机内部部署了苍穹平台系统[容器],内部服务无法正常启动",容器	系统	苍穹	下载速度	启动	进程	平台	太慢	认定	导致系统
66,【HCI】adeploy打开报错“欢迎使用C-Lodop打印服务系统”,打印服务	欢迎	系统	打开	报错	使用	出现	页面	c盘	环路
67,【HCI】安装数存备份软件之后，windows开机一直开在启动中，进度条一直转,一直	进度条	开机	启动	数存	备份	软件	安装	班级	现场
68,【HCI】主机开机找不到引导,引导	开机	不到	现场	玩转	环回口	环境	环境变量	环境模拟	环境设备
69,【HCI】监控中心使用WMI凭证监控winodows虚拟机，监控不到网口信息,监控	凭证	中心	信息	使用	不到	选择	状态	现场	环境
70,【HCI】windows server服务器无法打开网络共享中心,中心	打开	服务器	无法	c盘	现成	环境	环境变量	环境模拟	环境设备
71,【acloud】安装性能优化工具后ifconfig看不到网卡，卸载后正常,网卡	看不到	安装	网络服务	性能	优化	卸载	工具	启动	报错
72,【EDS】EDS上是可用空间是108T，但是映射给windows后只有100T（容量显示）,可用	空间	映射	容量	显示	现成	环境变量	环境模拟	环境设备	环路
73,【HCI】Ubuntu16调整分辨率,分辨率	调整	反馈	客户	无法	c盘	现成	环境	环境变量	环境模拟
74,【HCI】虚拟机开机黑屏，远程桌面正常,正常	一段时间	远程桌面	情况	开机	远程	使用	环境设备	玩游戏	玩转
75,【HCI】HCI上配置的分布式防火墙不生效,接在	生效	互通	策略	分布式	禁止	配置	交换机	防火墙	虚拟
76,【HCI】虚拟机网络异常，ping提示一般故障,故障	网络	异常	提示	c盘	现场	环回口	环境	环境变量	环境模拟
77,【HCI】延伸集群告警空间不足不满足数据重建,延伸	不足	空间	告警	误报	横幅	重建	利用率	怀疑	满足
78,【HCI】Linux虚拟机异常重启,重启	原因	异常	c盘	现成	环境	环境变量	环境模拟	环境设备	环路
79,【HCI】Linux启动找不到对应UUID的分区,分区	启动	一体机	备份	恢复	对应	一直	数据	不到	c盘
80,【HCI】Vmware安装disksafe的虚拟机迁移HCI后优化调整,迁移	管理工具	供应商	安装	描述	调整	方法	操作系统	驱动	确认
81,【HCI】SIP安装性能优化工具重启以后引导分区需要密码,引导	分区	优化	性能	工具	重启	密码	安装	需要	现象
82,【HCI】虚拟网络中部署VAD，生效时选择镜像报错,镜像	选择	网络	虚拟	生效	部署	稍后	出错	请求	重试
83,【HCI】虚拟iscsi磁盘无法删除,删除	磁盘	虚拟	无法	现场	玩转	环回口	环境	环境变量	环境模拟
84,【HCI-VT】SQL Server 2005数据库配置 32C16G时写数据丢失,数据	事件	报错	丢失	插入	配置	数据库	应用	现成	环境变量
85,【HCI】Windows虚拟机关机慢,关机	操作	检查	失败	出现	机慢	状态	控制台	机关	返回
86,【HCI】日志一直提示有raid 卡状态异常告警Need Attention,控制器	状态	异常	一直	告警	信误	供应商	技术支持	持续	详情
87,【HCI】监控中心监控不到网卡状态，在服务器上开启和配置SNMP,监控	无效	网卡	中心	状态	调整	重新	时间	更新	检测
88,【HCI】使用P2V迁移过来的虚拟机启动到ctrl+alt+delete界面卡死,迁移	界面	没法	使用	远程桌面	登陆	开机	启动	正常	c盘
89,【HCI】centos7虚拟机异常重启,重启	异常	原因	c盘	现成	环境	环境变量	环境模拟	环境设备	环路
90,【HCI】lvcan执行报错,进不了	执行	迁移	系统	报错	环路	率为	玩游戏	玩转	环回口
91,【HCI】虚拟机无法选择虚拟共享盘,共享	选择	虚拟	无法	c盘	现已	环回口	环境	环境变量	环境模拟
92,【HCI】乌班图18.04虚拟机网卡不生效,网卡	生效	标红	命令	完成	部分	启用	文件	查看	使用
93,【HCI】虚拟机端口不通,端口	不通	能通	访问	正常	现场	环回口	环境	环境变量	环境模拟
94,【HCI】RHEL6勾选virtio后启动就会到grub界面，不勾选可以进去,勾选	启动	界面	迁移	安装	理论	现场	玩转	环回口	环境
95,【HCI】监控中心业务监控http协议无法上线,监控	协议	中心	上线	无法	业务	正常	配置	c盘	现成
96,【HCI】虚拟机插槽数与核数与外部显示不一致,插槽数	核数	一致	显示	实际	配置	现已	环境	环境变量	环境模拟
97,【HCI】windows开机一直卡在黑屏,加载	开机	见到	进度条	引导	判断	情况	一直	界面	系统
98,【HCI】控制台告警延伸集群曾经发生故障,延伸	曾经	故障	发生	集群	告警	尚未	控制台	处理	完成
99,【HCI】数据库SMMS工具无响应,响应	工具	数据库	经常性	使用	操作	客户	现成	环境变量	环境模拟
100,【HCI】 限制 IP 地址登录后，登录控制台直接提示失败,登录	限制	失败	控制台	ip地址	提示	地址	班级	环境	环境变量
101,【HCI-VT】信创产品sCloud上装UOS V20 1040系统虚拟机配置多核只能识别单核,单核	只能	识别	上装	核心	配置	进行	产品	信创	联网
102,【HCI】华为平台的虚拟机V2V迁移失败，获取磁盘快照失败,快照	失败	迁移	平台	磁盘	获取	尝试	卸载	现需	环路
103,【HCI】Ubuntu虚拟机修改分辨率,分辨率	修改	要求	客户	c盘	现成	环境	环境变量	环境模拟	环境设备
104,【HCI】windows 磁盘分区找不到，磁盘管理器显示磁盘未分配,磁盘	磁盘分区	管理器	分配	不到	显示	挂载	卸载	班级	现已
105,【HCI】设备升级提示上传文件XX失败,上传	升级	升级包	失败	设备	提示	文件	现放通	环境设备	环路
106,【HCI】sCloud版本 HCI 主机安装失败提示：系统盘不允许组LVM（45）,系统盘	允许	版本	安装	失败	提示	c盘	现成	环境变量	环境模拟
107,【HCI】信服云迁移工具安装报错,警告	安装	注册表	弹窗	信服	工具	检查	迁移	存在	客户端
108,【HCI】windows虚拟机不定时关机,定时	关机	频繁	关闭	理论	现已	瓶颈	环境	环境变量	环境模拟
109,【HCI】添加共享目录报错用户或密码错误，请检查用户密码以及Samba服务的配置,检查用户	密码	目录	共享	添加	服务	错误	报错	配置	用户
110,【HCI】P2V迁移失败提示，无法迁移的目的主机（x.x.x.x 4000端口）,迁移	失败	未知	目的	提示	端口	网络	错误	服务器	登录
111,【HCI】第三方服务器 Hygon 架构 CPU 安装 HCI 过程中告警虚拟化技术（VT-d）未启用,技术	架构	虚拟化	过程	告警	启用	安装	服务器	现已	环境
112,【HCI】虚拟机裸磁盘映射，存储扩容后，虚拟机内磁盘容量没变化,变化	磁盘	容量	扩容	映射	扩展	c盘	环回口	环境	环境变量
113,【HCI-VN】两台服务器vxlan口采用主备聚合模式直连互ping不通,连互	聚合	采用	不通	模式	服务器	c盘	现已	环境变量	环境模拟
114,【HCI】主机每稳定运行一段时间后，就会离线重新上线，主机自动重启,运行	稳定	一段时间	离线	重新	上线	重启	时间	自动	查看
115,【HCI】设置用户IP登陆限制后，范围内ip无法登陆,范围	登陆	相关	用户	发生	编辑	现象	无法	允许	权限
116,【HCI】linux开机卡住，提示not syncing: Out of memory and no kil,开机	提示	瓶颈	玩游戏	玩转	环回口	环境	环境变量	环境模拟	环境设备
117,【HCI】虚拟机备份到win10共享目录失败，提示准备备份镜像失败,备份	准备	目录	镜像	失败	共享	提示	现成	环境变量	环境模拟
118,【HCI】第三方工具扫描，HCI主机间有使用黑客工具JoomscanWeb扫描器,黑客工具	扫描器	扫描	工具	使用	现场	玩转	环回口	环境	环境变量
119,【HCI】巡检工具提示主机的vxlan口IP与配置文件不一致,巡检	配置文件	提示	工具	一致	告警	c盘	现已	环境变量	环境模拟
120,【HCI-VN】虚拟机网络异常之EDR拦截,服务器	访问	查阅	文件	地址	应用服务器	小时	处于	一段时间	恢复
121,【HCI-VT】FC存储添加失败之LUNZ盘,z盘	识别	平台	添加	失败	现已	环境	瑞星	环境变量	环境模拟
122,【HCI】经过vaf之后，物理机telnet不通虚拟机,物理	不通	c盘	现已	环回口	环境	环境变量	环境模拟	环境设备	环路
123,【HCI】windows虚拟机经常自动关机,自动关机	融合	c盘	玩游戏	环回口	环境	环境变量	环境模拟	环境设备	环路
124,【HCI】windows虚拟机使用共享文件夹相互拷贝数据慢,相互	拷贝	文件夹	共享	数据	达到	使用	情况	正常	现象
125,【HCI】centos安装性能优化工具失败tar：command not found,性能	优化	工具	安装	报错	失败	提示	现成	环境变量	环境模拟
126,【HCI】虚拟机系统选错导致控制台上看有个别虚拟机IP不显示,选错	显示	详情	个别	控制	融合	ip地址	查看	界面	系统
127,【HCI】迁移Linux虚拟机成功，但是启动虚拟机直接进入紧急模式,紧急	进入	迁移	启动	模式	成功	环路	玩转	环回口	环境
128,【HCI】windows 安装信服云迁移工具运行setup.exe报错,运行	安装	信服	工具	迁移	客户端	报错	提示	c盘	环路
129,【HCI】安装sCloud 宿主机系统异常,宿主机	安装	后卡	系统	命令	执行	界面	异常	服务器	理想
130,【HCI】导入ovf虚拟机失败,导入	失败	融合	c盘	现已	环境	环境变量	环境模拟	环境设备	环路
131,【HCI-VN】物理连接网络交叉互联场景导致虚拟网络异常,网络	问题	负载	案例	进行	轮询	容易	现状	衍生	参考
132,【HCI】超融合虚拟机（CentOS7系统）安装完性能优化工具之后出现网络未托管,托管	网络	系统	安装	性能	优化	融合	现象	工具	情况
133,【HCI】曙光服务器安装提示开启VT-d,曙光	技术	安装	虚拟化	服务器	检测	提示	开启	启用	设备
134,【HCI】Windows的此副本必须与Microsoft激活，您在激活Windows之前无法登陆,激活	副本	登陆	弹窗	继续	无法	迁移	系统	页面	提示
135,【HCI】Linux 虚拟机重启异常，进入救援模式：Timed out waiting for device,进入	救援	重启	系统	模式	平台	异常	正常	无法	班级
136,【HCI-VT】windows虚拟机频繁蓝屏，dump分析,频繁	升高	内存	分析	进入	重启	异常	正常	电话	环路
137,【HCI】集群有主机离线，没有做虚拟存储，恢复出厂报错,出厂	虚拟存储	离线	恢复	集群	报错	环回口	环境	环境变量	环境模拟
138,【HCI】windows 7b蓝屏，磁盘损坏，系统文件损坏,损坏	系统文件	磁盘	系统升级	文件系统	断电	异常	c盘	环境	环境变量
139,【HCI-VT】windows 虚拟机键盘无法使用,键盘	使用	无法	现场	玩转	环回口	环境	环境变量	环境模拟	环境设备
140,【HCI】APM报表下载失败，跳转连接提示404,下载	报表	链接	失败	跳转	中心	监控	提示	点击	控制台
141,【HCI-VT】CDP备份恢复找回文件显示分区 不支持的文件系统类型,找回	文件系统	分区	文件	备份	恢复	类型	支持	显示	环境变量
142,【HCI】安装系统后无法正常启动,机械	启动	固态	现场	安装	反馈	系统	服务器	正常	无法
143,【HCI】HostOS是OpenEuler系统，安装信创 HCI 主机失败,信创	系统	安装	失败	现成	环回口	环境	环境变量	环境模拟	环境设备
144,【HCI】快速全量克隆的虚拟机，开机提示No bootable device,全量	快速	开机	提示	环路	玩游戏	玩转	环回口	环境	环境变量
145,【HCI】云祺备份一体机对接超融合备份虚拟机卡顿及实际存储空间比虚拟机磁盘大,备份	一体机	实际	融合	磁盘	对接	速度慢	存储空间	拷贝	空间
146,【HCI】VMware迁移过来的centos7.5控制台横幅提示“系统不支持安装性能优化工具,横幅	性能	优化	安装	工具	支持	迁移	系统	控制台	版本信息
147,【HCI】安装HCI失败，提示退出安装程序，原因:存在CPU节点上检测不到内存(errno :80 ),安装程序	内存	退出	原因	节点	检测	存在	不到	安装	失败
148,【SASE】RT管理口无法访问,无法访问	管理	c盘	现已	环回口	环境	环境变量	环境模拟	环境设备	环路
149,【aDesk】软件异常之虚拟叫号软件停止工作,软件	工作	停止	虚拟	一段时间	异常	使用	现放通	现状	理想
150,【HCI】Windows虚拟机内存高-驱动器锁定,内存	无高	驱动器	锁定	任务	管理器	进程	占用	使用	c盘
151,【HCI】Llinux虚拟机开机失败chown: invalid user:‘ root :root,开机	启动	报错	失败	瑞星	环境	环境变量	环境模拟	环境设备	环路
152,【HCI】linux虚拟机无法登录,无法	登陆	用户名	输入	密码	登录	提示	c盘	环路	环回口
153,【aDesk】Windows虚拟机远程桌面接入卡慢,远程桌面	接入	c盘	现场	玩转	环回口	环境	环境变量	环境模拟	环境设备
154,【HCI】虚拟机磁盘管理与资源管理容量大小显示不一致,资源管理	容量	磁盘	一致	管理	显示	c盘	现场	环回口	环境
155,【aDesk】盒子登录虚拟机，软件无法正常播放视频画面,画面	播放	视频	盒子	软件	正常	登录	无法	现场	环境
156,【HCI-VT】SCP纳管HCI后，HCI上还能编辑备份策略,编辑	纳管	备份	策略	应该	按钮	版本	客户	正常	现成
157,【SASE】上架后无法上网,上架	互联网	终端	无法访问	上网	无法	c盘	现放通	环境变量	环境模拟
158,【HCI】迁移过来的 windows 虚拟机网络适配器页面空白,网络适配器	空白	迁移	页面	网卡	显示	环路	环回口	环境	环境变量
159,【HCI-VN】客户物理局域网ip和管理口ip冲突导致修改管理口ip失败,冲突	修改	管理	提示信息	局域网	地址	重试	物理	检测	ip地址
160,【HCI】Windows虚拟机共享目录传输速率过低,共享	盘为	精简	动态分配	传输速率	速率	系统盘	达到	传输	内存
161,【HCI】windows虚拟机磁盘数据写入失败，报错空间不足,写入	空间	e盘	剩余	复制	不足	位置	磁盘	文件	数据
162,【AC】AC6.1没有通过认证，但是能打开部分网站,部分	网站	打开	认证	环回口	环境	环境变量	环境模拟	环境设备	环路
163,【AC】对接云图短信认证提示发送验证码成功， 但收不到短信,短信	收不到	验证码	发送	对接	成功	认证	提示	c盘	环境
164,【aDesk】虚拟机开机之后桌面图标全部看不到,桌面图标	全部	看不到	软件	任务栏	快捷键	开机	打开	使用	环路
165,HCI 6.2.0 Ubuntu20.04版本 克隆虚拟机重启后IP地址冲突问题,ip地址	冲突	重启	问题	下发	同步	版本	导致	理论	现成
166,【SASE】无法引流（逃生）,上架	逃生	引流	断开	平台	显示	连接	无法	版本升级	现放通
167,【AC】全网行为管理排错集锦一（802.1x认证）,问题	认证	集锦	排错	常见问题	助手	成功	全网	行为	上线
168,【aDesk】VDC真实服务器一直在数据校验中,真实	校验	一直	数据	服务器	集群	所示	c盘	现已	环境
169,【AC】流量不经过AC但是被AC拦截导致网页打不开,拦截	网络设备	弹出	打不开	网页	流量	浏览器	页面	控制台	内网
170,【IPSEC】和第三方标准ipsec隧道建立后不通,隧道	标准	不通	建立	网关	模式	部署	玩转	环回口	环境
171,【aDesk】虚拟机访问网页提示证书无效,访问	无效	证书	网页	提示	资源	不到	环路	玩转	环回口
172,【aDesk】IE浏览器登录国家增值税查询网站，获取验证码失败提示系统繁忙，请稍后重试,增值税	国家	繁忙	稍后	验证码	重试	查询	网站	获取	系统
173,【HCI】vAF带宽授权不足导致丢包,桥接	不足	带宽	物理	授权	导致	现已	环境变量	环境模拟	环境设备
174,【aDesk】金税三期税收管理系统登录显示一直正在加载,税收	金税	管理系统	加载	一直	显示	登录	现场	环境	环境变量
175,【aDesk】虚拟机每次重启后使用浏览器第一次访问业务网站都很慢,很慢	重启	业务	访问	网站	浏览器	比较	使用	环境设备	环回口
176,【AC】终端注册，提示终端被禁用,终端	注册	禁用	用户名	输入	提示	页面	现放通	现成	现已
177,【aDesk】虚拟机异常之派生的虚拟机没有声音,声音	派生	模板	输出	盒子	接入	异常	使用	现状	环境变量
178,【aDesk】共享桌面不能使用声音,共享	桌面	音频	图标	声音	使用	接入	电话	环境设备	率为
179,【HCI-VT】系统序列号已过期，请升级序列号,序列号	已过期	升级	系统	备注	编辑	失败	瑞星	现成	环境变量
180,【SSL】登录VPN获取不到虚拟IP,虚拟	登录	获取	消息	连接	尝试	解决	分配	重新	网卡
181,【SSL】资源组未启用导致泛资源访问异常,资源	访问	组未	改写	异常	链接	启用	进行	导致	c盘
182,【aDesk】圆孔麦克风没有声音,圆孔	摄像头	自带	使用	声音	真实	客户	需求	需要	无法
183,【HCI】 导入虚拟机提示上传文件没有找到，请联系客服,客服	上传	找到	文件	联系	完成	导入	页面	报错	提示
184,【aDesk】拔插网线后，通过盒子无法获取虚拟机资源,盒子	网线	获取	资源	型号	连接	管理器	无法	中心	进行
185,【SSL】企业微信认证失败报错：认证失败 https get error: EAI_AGQIN,企业	失败	微信	认证	信号	报错	检查	部分	网络	服务器
186,【AF】windows防篡改客户端安装后不能打开之安装未成功,篡改	安装	客户端	打开	图标	运行	成功	提示	c盘	环路
187,【aDesk】检察院统一业务应用系统打开报错“远程服务连接失败”,软件版	统一	业务	系统	打开	远程	网页	检察院	检察机关	全国
188,【AC】安装外置数据中心过程中提示报错,外置	升级	数据中心	重新安装	报错	过程	出现	版本	安装	需要
189,【AC】密码认证成功后，再次打开网页又需要重新认证,再次	认证	重新	网页	密码	需要	打开	成功	提示	环境模拟
190,【AC】SC下发配置策略给分支AC，策略不完整,下发	策略	分支	小于	完整	模版	条数	网点	选择	看到
191,【aDesk】IE浏览器打开监控视频黑屏,视频	监控	浏览器	打开	玩转	环回口	环境	环境变量	环境模拟	环境设备
192,"【aDesk】远程桌面报错身份验证错误,要求的函数不受支持",函数	身份验证	要求	远程桌面	支持	错误	报错	c盘	环境设备	玩转
193,【aDesk】Windows 10远程协助报错--msra.exe损坏的映像,协助	映像	远程	损坏	报错	用户	桌面	管理员	功能	虚拟
194,【SSL】平板在应用商店无法显示应用封装的APP,平板	应用	商店	封装	显示	无法	存在	问题	版本号	现成
195,【AC】导入用户提示管理员权限不够,不够	管理员	权限	导入	用户	提示	c盘	环境	环境变量	环境模拟
196,【AD】浏览器访问http业务提示network error,浏览器	相同	业务	发布	提示	服务	虚拟	页面	打开	错误
197,【SSL】访问资源提示您被禁止访问互联网,互联网	资源	访问	禁止	单台	发布	提示	电脑	客户	环境
198,【SSL】awork登录提示MDM移动设备注册失败-无法连接到服务器,注册	移动	连接	服务器	登录	失败	设备	无法	提示	现需
199,【aDesk】VDI登录时提示用户已超时或已注销,注销	调到	登录	用户	提示	浏览器	出现	界面	现场	环境
200,【adesk】银行的U盾插拔后无法使用，必须要重启虚拟机才能能使用，插拔又不行,插拔	不行	使用	重启	银行	无法	现已	环境	环境变量	环境模拟
201,【SSL】登录VPN后看不到资源-ldap用户未区分大小写,资源	区分	登录	列表	看不到	客户端	显示	发现	用户	现状
202,【aDesk】Windows通过配置注册表实现自动登录,注册表	账号	实现	支持	登录	加域	需求	使用	模板	桌面
203,【aDesk】设备管理大容量存储(U盘)显示黄色感叹号,u盘	大容量	插拔	黄色	感叹号	驱动	设备	恢复	重新	更新
204,【SSL】awork输入账号密码登录提示vpn配置请求失败,账号密码	请求	输入	登录	失败	配置	提示	环路	环回口	环境
205,【adesk】win10虚拟机磁盘分区压缩卷报错,磁盘分区	压缩	启动	进行	相关联	报错	原因	禁用	操作	磁盘
206,导入acente授权的时候提示序列号中资源数量不足,数量	不足	序列号	授权	导入	资源	提示	c盘	环境	环境变量
207,【AC】用户认证与管理中认证高级选项打开提示表单加载失败,表单	认证	选项	加载	管理	打开	失败	用户	提示	环路
208,【WOC】WOC从953升级到956的时候报错，升级失败,升级	报错	失败	允许	端口	服务	使用	现象	环境设备	环路
209,【AC】外置数据中心升级报错,外置	升级	数据中心	报错	瑞星	现已	环境变量	环境模拟	生产	环境设备
210,【SSL】访问webvpn资源返回200OK的提示,返回	资源	访问	界面	提示	c盘	环境设备	玩游戏	玩转	环回口
211,【aDesk】5.3.3及以上版本 ，XP虚拟机提示agent 状态异常,状态	版本	异常	提示	c盘	现场	环回口	环境	环境变量	环境模拟
212,【aDesk】安装NVIDIA显卡驱动时提示“NVIDIA安装程序无法继续”,图形	兼容	驱动程序	安装程序	继续	显卡	驱动	无法	安装	找到
213,【aDesk】金蝶软件打开失败提示注册表错误,注册表	金蝶	软件	打开	错误	失败	提示	现场	环境	环境变量
